Washington DC (DC) is the “best state” considering all the measure scores included in all Timely and Effective Care and Readmissions data.The same “average of percentage ranking of measures” indicator is used to choose the best state. (Please refer to the “best_hospital.txt for detailed explanation)Because there are small numbers of states, no threshold of measures is set in the query. All measures taken at all hospitals in a state are used in calculating the average of percentage ranking. However, some “states” (such as MP, GU and VI) are excluded from consideration in the final result due to their small number of rankings. Therefore, DC is considered the “best state” among states that have sizable number of measures.Query Result:


state	avg_pctrank	stddev_pctrank	sum_pctrank	count_pctrank
MP	0.7300451251446928	0.2040684149009986	5.840361001157542	8
GU	0.5707789809045858	0.26696143096979275	16.552590446232987	29
DC	0.5225953503710222	0.31807790389207985	190.2247075350521	364
VI	0.49072452930208765	0.27557787168583137	32.87854346323987	67
MD	0.4825450876710774	0.34032907496496717	900.9116786819015	1867
RI	0.4680754649097432	0.30599538284760786	250.88844919162236	536
WV	0.4673599788773394	0.3164456694418297	765.5356454010819	1638
AR	0.4665738125820694	0.31654396011300606	1060.9888498116259	2274
PR	0.4583512057731233	0.2980007552523686	356.13888688571683	777
NY	0.45817707640547234	0.32828573633433533	3386.386771712846	7391
CT	0.4565367550233685	0.3315413902734952	642.3472143178794	1407
MS	0.45451712164633196	0.30791762933434724	1162.654797171317	2558
NV	0.4534784070438806	0.3311829625193384	521.5001681004627	1150
MI	0.44431714521945537	0.32074436045368054	2204.7016745789374	4962
KY	0.44180565884780165	0.31841933827770147	1409.3600517244872	3190
NJ	0.4410663999503102	0.34261904857361963	1423.7623390396013	3228
MO	0.4407332226388494	0.324079256185236	1665.530848352212	3779
GA	0.4392176849508887	0.3181334998904473	2093.7507041608865	4767
TN	0.4364213968022232	0.31731828068045137	1772.7437138106307	4062
MA	0.4359350878872454	0.33147010974432156	1210.5917390628804	2777
AZ	0.43586539676414826	0.31619731183792493	1196.8863795143511	2746
WA	0.4330168524861487	0.312363533929138	1253.1507710949143	2894
IL	0.4296379826221188	0.32929740598889246	2945.5980088572464	6856
AK	0.4288065406143797	0.30470204286985864	178.81232743619634	417
OH	0.42793909511088063	0.3237303830508946	2804.7128293567116	6554
NC	0.4270146782417323	0.3347392913474486	1932.2414190438385	4525
CA	0.4263162432855391	0.3276485553236855	5826.464096983463	13667
DE	0.42583595391492457	0.33240642482726224	136.26750525277586	320
ND	0.4242241493377425	0.29804553647039017	256.6556103493342	605
OK	0.42271911408224355	0.30696632079402303	1357.351075318084	3211
TX	0.4220250576132698	0.32388150341380545	5141.531276902466	12183
AL	0.4217762650087457	0.324318233421731	1387.6439118787735	3290
LA	0.4215720242451073	0.3134687631858368	1462.0117800820321	3468
SC	0.4188695524424723	0.3361497851951174	1089.060836350428	2600
PA	0.4174347796593771	0.32899849221028177	2949.176718293499	7065
OR	0.41491336569428494	0.30869438491486867	872.1478946893869	2102
IA	0.4128278248495037	0.30138028600749245	1024.6386612764682	2482
VA	0.40768187996284594	0.34117023517823547	1474.9930417055766	3618
VT	0.4057708592129926	0.31595738461382505	181.3795740682077	447
NM	0.40276515836462146	0.3061277890351314	505.0675085892353	1254
FL	0.3988440364250733	0.345313309894484	3342.7118692785393	8381
IN	0.3924900813834456	0.32205224306077457	1793.2871818409628	4569
NE	0.39128020288430476	0.30835253858030115	602.180232238945	1539
KS	0.3874886499970911	0.3079579933192076	975.6964206926754	2518
MN	0.3869370850558994	0.30517979241367776	1236.6509238386545	3196
WY	0.38661453092580933	0.29915265492875515	227.32934418437588	588
ID	0.3852680225745765	0.3056036730883425	311.68183026283236	809
UT	0.38214392121450286	0.32157360223637965	517.0407254032224	1353
WI	0.37772045440945784	0.32094617390962715	1569.4284880712974	4155
CO	0.375327962839989	0.3213232173548027	874.8894813800143	2331
SD	0.3737659414337439	0.3075788955167397	316.5797523943811	847
NH	0.3702144270604433	0.324370463737058	341.3377017497287	922
HI	0.3676247728491134	0.32118634793445067	216.16336643527868	588
MT	0.3564575759516739	0.30237091112912134	319.0295304767481	895
ME	0.3428727790767703	0.3237314888425443	423.10500938073454	1234
